City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
Novo Aripuanã,28,BR,1589680438,94,-5.12,-60.38,74.98,1.01
Barrow,90,US,1589680439,79,71.29,-156.79,26.6,9.17
Aksarka,100,RU,1589680439,95,66.56,67.8,34.18,4.21
Paignton,20,GB,1589680439,8,50.44,-3.57,48.0,1.99
Walvis Bay,0,NA,1589680439,71,-22.96,14.51,57.2,3.36
Perth,97,AU,1589680387,59,-31.93,115.83,64.0,3.36
Carndonagh,100,IE,1589680440,93,55.25,-7.27,47.21,8.97
Atambua,13,ID,1589680440,66,-9.11,124.89,83.91,3.0
George Town,20,MY,1589680440,88,5.41,100.34,82.4,4.7
Rikitea,100,PF,1589680441,85,-23.12,-134.97,77.09,10.36
Acapetahua,75,MX,1589680441,74,15.28,-92.7,84.2,6.93
Maamba,0,ZM,1589680441,45,-17.37,27.15,57.25,1.52
Port Elizabeth,3,ZA,1589680442,100,-33.92,25.57,46.4,3.36
Ibipeba,84,BR,1589680442,86,-11.64,-42.01,70.03,3.27
Busselton,100,AU,1589680442,47,-33.65,115.33,61.0,9.66
Auki,16,SB,1589680442,65,-8.77,160.7,87.75,3.44
Bambous Virieux,20,MU,1589680443,94,-20.34,57.76,72.0,4.7
Aklavik,90,CA,1589680443,79,68.22,-135.01,24.8,11.41
Cardston,75,CA,1589680223,31,49.2,-113.3,64.4,14.99
Butaritari,2,KI,1589680443,77,3.07,172.79,83.98,15.17
Bluff,15,NZ,1589680443,77,-46.6,168.33,53.85,8.72
Punta Arenas,75,CL,1589680387,93,-53.15,-70.92,39.2,12.75
Sorong,0,ID,1589680444,68,-0.88,131.25,86.36,0.72
Albany,77,US,1589680314,58,42.6,-73.97,62.01,4.5
Nikolskoye,75,RU,1589680444,86,59.7,30.79,39.99,11.18
Ancud,90,CL,1589680406,87,-41.87,-73.82,54.0,5.82
Hithadhoo,100,MV,1589680445,77,-0.6,73.08,85.24,21.03
Arraial do Cabo,30,BR,1589680445,79,-22.97,-42.03,72.34,11.1
Mataura,0,NZ,1589680446,63,-46.19,168.86,56.19,0.87
Paamiut,100,GL,1589680446,91,61.99,-49.67,38.62,12.59
Ushuaia,75,AR,1589680352,80,-54.8,-68.3,41.0,12.75
Viljoenskroon,0,ZA,1589680446,43,-27.21,26.95,49.21,3.36
Chokurdakh,0,RU,1589680447,97,70.63,147.92,29.71,10.29
Finca Blanco,100,PA,1589680448,100,8.38,-82.87,66.99,3.96
Hermanus,32,ZA,1589680449,81,-34.42,19.23,54.0,2.59
Nurota,39,UZ,1589680449,63,40.56,65.69,62.6,11.41
Zhigansk,100,RU,1589680449,78,66.77,123.37,44.64,10.85
Nouadhibou,26,MR,1589680449,72,20.93,-17.03,66.2,20.8
Hilo,90,US,1589680450,58,19.73,-155.09,82.4,11.41
Brae,40,GB,1589680450,70,60.4,-1.35,42.8,23.04
Kungur,82,RU,1589680450,80,57.44,56.96,42.82,4.34
Mehamn,100,NO,1589680450,95,71.04,27.85,32.97,9.22
Borovoy,2,RU,1589680451,77,55.43,86.08,62.6,4.47
Almaznyy,0,RU,1589680451,93,48.04,40.05,41.0,2.24
Mitú,100,CO,1589680451,97,1.2,-70.17,73.04,1.72
Leningradskiy,100,RU,1589680452,96,69.38,178.42,30.15,6.06
Esperance,40,AU,1589680452,72,-33.87,121.9,59.0,10.29
Cape Town,6,ZA,1589680181,93,-33.93,18.42,44.6,3.36
Faanui,32,PF,1589680452,73,-16.48,-151.75,82.09,6.44
Saint Anthony,90,US,1589680452,87,45.02,-93.22,55.99,9.17
Yellowknife,75,CA,1589680379,78,62.46,-114.35,32.0,14.99
Constitución,0,CL,1589680234,80,-35.33,-72.42,58.5,8.84
Cabo San Lucas,5,MX,1589680426,41,22.89,-109.91,82.99,5.82
Bolkhov,21,RU,1589680453,95,53.44,36.0,40.21,9.46
Port Alfred,83,ZA,1589680454,69,-33.59,26.89,55.0,6.76
Tarabuco,0,BO,1589680454,65,-19.17,-64.92,42.73,1.95
Zharkent,100,KZ,1589680454,50,44.16,80.0,65.84,4.03
Saint-Joseph,40,RE,1589680454,78,-21.37,55.62,71.6,6.93
Hokitika,0,NZ,1589680455,59,-42.72,170.97,56.21,3.24
Puerto Ayora,83,EC,1589680455,91,-0.74,-90.35,75.99,1.01
Bandarbeyla,0,SO,1589680455,81,9.49,50.81,82.42,23.09
Ibrā’,0,OM,1589680455,59,22.69,58.53,75.9,2.98
Semporna,20,MY,1589680456,79,4.48,118.61,87.8,3.36
Santa Vitória do Palmar,0,BR,1589680456,71,-33.52,-53.37,62.69,12.21
Sayyan,0,YE,1589680456,33,15.17,44.32,60.84,7.49
Katsuura,20,JP,1589680456,64,35.13,140.3,80.01,10.29
Lebyazh'ye,100,RU,1589680457,77,55.27,66.49,59.0,8.03
Saint Paul Harbor,20,US,1589680457,76,57.79,-152.41,51.8,10.29
Ayagoz,94,KZ,1589680457,44,47.97,80.44,66.2,2.89
Pevek,0,RU,1589680457,90,69.7,170.31,34.39,4.23
Hearst,100,CA,1589680458,97,49.68,-83.67,39.79,6.08
Makakilo City,1,US,1589680458,38,21.35,-158.09,89.6,6.93
Anaconda,1,US,1589680458,27,46.13,-112.94,62.6,11.41
Namatanai,13,PG,1589680458,69,-3.67,152.43,86.88,7.63
Los Llanos de Aridane,90,ES,1589680459,55,28.66,-17.92,66.2,9.17
Yei,0,SS,1589680459,88,4.09,30.68,67.15,3.02
Vilyuysk,100,RU,1589680459,51,63.76,121.62,59.7,4.52
Panino,85,RU,1589680459,61,51.65,40.13,50.0,6.71
Thompson,75,CA,1589680460,30,55.74,-97.86,55.4,5.82
Rāvar,0,IR,1589680460,23,31.27,56.81,69.66,1.07
Saint-Pierre,40,RE,1589680460,78,-21.34,55.48,71.6,6.93
Hamilton,1,US,1589680213,83,39.18,-84.53,72.0,3.36
Ustrzyki Dolne,82,PL,1589680461,83,49.43,22.59,42.01,4.05
Oxford,7,GB,1589680200,87,51.75,-1.26,46.0,1.12
Cherskiy,0,RU,1589680461,39,68.75,161.3,53.85,10.98
Tuktoyaktuk,90,CA,1589680461,86,69.45,-133.04,26.6,14.99
Demba,67,CD,1589680462,88,-5.51,22.27,69.49,2.64
Tegul'det,28,RU,1589680462,68,57.31,88.17,58.51,8.37
Broken Hill,0,AU,1589680462,55,-31.95,141.43,60.8,6.93
Te Anau,0,NZ,1589680462,56,-45.42,167.72,53.85,0.89
Eureka,100,US,1589680463,71,40.8,-124.16,59.0,1.99
Mar del Plata,20,AR,1589680351,76,-38.0,-57.56,66.0,6.93
Vaini,75,TO,1589680463,69,-21.2,-175.2,78.8,5.82
Tabriz,20,IR,1589680464,54,38.08,46.29,59.0,4.7
Puerto Maldonado,25,PE,1589680464,78,-12.6,-69.18,69.98,1.77
Norton Shores,75,US,1589680400,63,43.17,-86.26,64.4,8.05
Kapaa,40,US,1589680464,74,22.08,-159.32,80.6,13.87
Marang,20,MY,1589680465,83,5.21,103.21,84.2,5.82
Castro,0,BR,1589680465,56,-24.79,-50.01,50.99,0.85
Sechura,0,PE,1589680465,71,-5.56,-80.82,71.4,14.88
Isangel,77,VU,1589680465,67,-19.55,169.27,76.5,12.08
Ponta do Sol,75,PT,1589680465,55,32.67,-17.1,62.6,5.82
Ribeira Grande,98,PT,1589680466,89,38.52,-28.7,62.69,8.39
Hyères,99,FR,1589680466,93,43.12,6.12,59.0,3.36
Kavaratti,95,IN,1589680466,79,10.57,72.64,85.3,14.85
Port Hardy,90,CA,1589680467,87,50.7,-127.42,53.6,14.99
Hobart,75,AU,1589680387,55,-42.88,147.33,60.8,6.93
Dhidhdhoo,100,MV,1589680467,77,6.88,73.1,85.42,19.71
Seoul,75,KR,1589680377,82,37.57,126.98,68.0,3.36
Khatanga,0,RU,1589680467,83,71.97,102.5,39.94,16.35
New Norfolk,10,AU,1589680468,78,-42.78,147.06,59.0,4.12
Port Keats,62,AU,1589680468,43,-14.25,129.55,88.12,13.06
Marina,1,US,1589680468,52,36.68,-121.8,69.8,10.29
Guerrero Negro,0,MX,1589680469,77,27.98,-114.06,64.38,15.35
Mezen',3,RU,1589680469,89,65.85,44.24,36.45,3.71
Carballo,0,ES,1589680469,87,43.21,-8.69,53.01,2.24
Ōhara,20,JP,1589680470,69,35.25,140.38,80.01,2.24
Dikson,43,RU,1589680470,97,73.51,80.55,31.42,10.89
Kamenka,0,RU,1589680470,93,51.32,42.77,41.0,1.01
Santa Rosa,20,PH,1589680470,70,14.31,121.11,91.0,8.05
Maneromango,0,TZ,1589680471,100,-7.2,38.78,65.34,3.85
Nhulunbuy,75,AU,1589680471,74,-12.23,136.77,80.6,11.41
Qaanaaq,0,GL,1589680471,90,77.48,-69.36,23.77,0.54
Jamestown,1,US,1589680471,62,42.1,-79.24,59.0,6.93
Chui,0,UY,1589680472,71,-33.7,-53.46,62.11,12.75
Sur,0,OM,1589680472,62,22.57,59.53,80.98,3.15
Lüderitz,0,NA,1589680472,29,-26.65,15.16,66.2,6.93
São Filipe,11,CV,1589680472,81,14.9,-24.5,72.16,8.48
Saint-Philippe,40,RE,1589680472,78,-21.36,55.77,71.6,6.93
Rio Grande,0,BR,1589680265,69,-32.03,-52.1,62.01,14.47
Makokou,100,GA,1589680473,97,0.57,12.86,71.06,1.83
Gáldar,75,ES,1589680473,68,28.15,-15.65,66.99,17.22
Kaitangata,0,NZ,1589680474,64,-46.28,169.85,55.06,1.57
Beringovskiy,98,RU,1589680474,96,63.05,179.32,32.18,14.38
Rāy,40,IN,1589680474,57,23.68,85.05,80.6,3.36
Berlevåg,100,NO,1589680474,95,70.86,29.09,32.97,7.2
San Patricio,5,MX,1589680475,78,19.22,-104.7,78.8,11.41
Pisco,1,PE,1589680476,88,-13.7,-76.22,64.4,9.17
Erzin,0,TR,1589680476,60,36.96,36.2,77.0,7.0
Avarua,40,CK,1589680476,69,-21.21,-159.78,82.4,14.99
Srandakan,29,ID,1589680477,75,-7.94,110.25,84.67,12.39
Muravlenko,0,RU,1589680477,64,63.79,74.52,49.1,6.76
Tiznit Province,56,MA,1589680477,83,29.58,-9.5,57.15,3.51
Aquiraz,40,BR,1589680477,88,-3.9,-38.39,77.0,4.79
Shimoda,75,JP,1589680478,83,34.67,138.95,70.0,3.36
Hong Kong,4,HK,1589680192,74,22.29,114.16,88.0,5.01
Marystown,84,CA,1589680478,83,47.17,-55.15,37.35,5.93
Bethel,1,US,1589680464,63,41.37,-73.41,61.0,3.4
Bosaso,0,SO,1589680479,58,11.28,49.18,87.42,1.59
Ulaangom,100,MN,1589680479,39,49.98,92.07,64.98,2.91
Bredasdorp,12,ZA,1589680479,86,-34.53,20.04,39.2,3.36
Callaway,1,US,1589680479,83,30.15,-85.57,75.2,6.93
Ponta Delgada,75,PT,1589680381,93,37.73,-25.67,62.6,8.05
Emerald,0,AU,1589680480,47,-23.53,148.17,75.2,10.29
Niamey,71,NE,1589680480,38,13.51,2.11,91.4,6.93
Nautla,72,MX,1589680480,77,20.22,-96.78,83.17,9.6
Araouane,0,ML,1589680481,17,18.9,-3.53,84.15,11.83
Fes,20,MA,1589680481,93,34.04,-5.0,51.8,6.93
Zheleznodorozhnyy,96,RU,1589680481,70,55.75,38.0,48.99,8.68
Elverum,46,NO,1589680481,75,60.88,11.56,34.0,1.99
Kumul,96,CN,1589680482,18,42.8,93.45,85.1,12.84
